Time,Price
2018/7/2,476.79 
2018/7/1,452.03 
2018/6/30,453.85 
2018/6/29,435.70 
2018/6/28,420.78 
2018/6/27,441.66 
2018/6/26,429.51 
2018/6/25,459.00 
2018/6/24,455.32 
2018/6/23,473.47 
2018/6/22,461.77 
2018/6/21,526.11 
2018/6/20,536.26 
2018/6/19,538.47 
2018/6/18,517.64 
2018/6/17,495.60 
2018/6/16,497.02 
2018/6/15,487.27 
2018/6/14,519.69 
2018/6/13,476.15 
2018/6/12,494.25 
2018/6/11,530.78 
2018/6/10,523.44 
2018/6/9,593.20 
2018/6/8,599.90 
2018/6/7,605.39 
2018/6/6,606.67 
2018/6/5,608.68 
2018/6/4,591.09 
2018/6/3,619.39 
2018/6/2,590.44 
2018/6/1,579.23 
2018/5/31,577.41 
2018/5/30,557.01 
2018/5/29,566.90 
2018/5/28,511.99 
2018/5/27,569.00 
2018/5/26,585.60 
2018/5/25,584.42 
2018/5/24,602.52 
2018/5/23,576.90 
2018/5/22,640.51 
2018/5/21,696.13 
2018/5/20,715.50 
2018/5/19,695.88 
2018/5/18,693.60 
2018/5/17,667.84 
2018/5/16,706.89 
2018/5/15,705.06 
2018/5/14,727.41 
2018/5/13,728.78 
2018/5/12,682.69 
2018/5/11,677.98 
2018/5/10,723.39 
2018/5/9,751.87 
2018/5/8,747.94 
2018/5/7,752.14 
2018/5/6,793.79 
2018/5/5,819.69 
2018/5/4,785.52 
2018/5/3,779.39 
2018/5/2,687.99 
2018/5/1,671.01 
2018/4/30,670.00 
2018/4/29,689.93 
2018/4/28,683.27 
2018/4/27,643.49 
2018/4/26,661.51 
2018/4/25,617.70 
2018/4/24,702.98 
2018/4/23,643.98 
2018/4/22,621.85 
2018/4/21,605.35 
2018/4/20,616.65 
2018/4/19,566.53 
2018/4/18,525.55 
2018/4/17,503.13 
2018/4/16,511.29 
2018/4/15,534.04 
2018/4/14,502.28 
2018/4/13,494.16 
2018/4/12,493.00 
2018/4/11,429.74 
2018/4/10,415.12 
2018/4/9,398.79 
2018/4/8,400.34 
2018/4/7,384.16 
2018/4/6,369.73 
2018/4/5,380.98 
2018/4/4,377.99 
2018/4/3,415.43 
2018/4/2,385.50 
2018/4/1,378.67 
2018/3/31,392.97 
2018/3/30,393.09 
2018/3/29,384.11 
2018/3/28,445.37 
2018/3/27,447.85 
2018/3/26,485.00 
2018/3/25,522.41 
2018/3/24,518.80 
2018/3/23,543.28 
2018/3/22,539.19 
2018/3/21,560.04 
2018/3/20,556.38 
2018/3/19,554.99 
2018/3/18,536.73 
2018/3/17,549.00 
2018/3/16,599.56 
2018/3/15,609.90 
2018/3/14,610.92 
2018/3/13,688.50 
2018/3/12,696.52 
2018/3/11,719.86 
2018/3/10,679.68 
2018/3/9,724.61 
2018/3/8,697.31 
2018/3/7,749.21 
2018/3/6,816.31 
2018/3/5,847.76 
2018/3/4,866.07 
2018/3/3,855.30 
2018/3/2,854.50 
2018/3/1,869.24 
2018/2/28,851.26 
2018/2/27,871.36 
2018/2/26,867.76 
2018/2/25,838.47 
2018/2/24,831.51 
2018/2/23,852.79 
2018/2/22,802.85 
2018/2/21,837.79 
2018/2/20,884.51 
2018/2/19,939.18 
2018/2/18,912.21 
2018/2/17,973.28 
2018/2/16,937.38 
2018/2/15,926.32 
2018/2/14,919.11 
2018/2/13,839.69 
2018/2/12,866.40 
2018/2/11,810.64 
2018/2/10,852.00 
2018/2/9,878.90 
2018/2/8,813.20 
2018/2/7,751.25 
2018/2/6,781.60 
2018/2/5,698.62 
2018/2/4,829.98 
2018/2/3,972.40 
2018/2/2,923.30 
2018/2/1,1036.30 
2018/1/31,1121.30 
2018/1/30,1076.00 
2018/1/29,1175.00 
2018/1/28,1246.60 
2018/1/27,1114.80 
2018/1/26,1047.00 
2018/1/25,1048.20 
2018/1/24,1063.20 
2018/1/23,982.98 
2018/1/22,995.08 
2018/1/21,1047.00 
2018/1/20,1146.00 
2018/1/19,1032.60 
2018/1/18,994.81 
2018/1/17,1017.50 
2018/1/16,1020.10 
2018/1/15,1273.40 
2018/1/14,1350.00 
2018/1/13,1380.00 
2018/1/12,1257.20 
2018/1/11,1135.50 
2018/1/10,1248.00 
2018/1/9,1283.70 
2018/1/8,1129.30 
2018/1/7,1115.80 
2018/1/6,1004.30 
2018/1/5,962.77 
2018/1/4,940.00 
2018/1/3,942.01 
2018/1/2,858.78 
2018/1/1,752.46 
2017/12/31,736.77 
2017/12/30,682.22 
2017/12/29,731.52 
